SAG,Module_ID,Submodule_ID,16S-based_lineage,Silva_16S_classification,CheckM_classification,Estimated_cell_diameter_µm,"Aassembly_length, bp",Contigs_count,Longest_contig_length,GC_content_%,Genome_completeness_%,Raw_read_count,Field_Sample_ID,Cruise,Feature,Lattitude,Longitude,Depth_m,Sample_collection_date
AH-324-F14,5,0,SAR86_Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,0.32,1362452,16,456180,35.75949832,84.0,3090617,121 Fiji-Hawaii 2007,3 c.1,equatorial,-3 N,-166 E,100,4/23/07
AG-447-K20,5,0,SAR86_Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,<0.5,1357219,16,356644,35.797686299999995,82.0,3315120,SWC-19,GEOTRACES,Off the SW coast of South Africa,-34.98 N,16.02 E,20,11/1/10
AG-447-I15,5,0,SAR86_Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,<0.5,1508303,20,385123,35.99535372,83.0,3480226,SWC-19,GEOTRACES,Off the SW coast of South Africa,-34.98 N,16.02 E,20,11/1/10
AG-915-K19,7,16,SAR86_Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,0.33,1232511,15,757879,35.41201661,81.0,3916409,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-453-B11,7,16,SAR86_Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,<0.5,1279093,14,619594,35.39625344,83.0,3106631,SWC-20,GEOTRACES,Austrialia coast,-30.00 N,156.00 E,50,5/1/11
AG-911-G14,7,16,SAR86_Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,0.23,1284767,5,962793,35.32835137,80.0,4456286,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-337-I17,7,16,SAR86_Gammaproteobacteria,no SSU regions found,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,<0.5,1200378,13,634277,34.92966382,80.0,2704650,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-892-C21,7,32,SAR86_Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella,0.26,1158399,6,495186,33.64004976,80.0,3472691,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-900-K14,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.23,1263973,18,295017,33.32088581,90.0,2992553,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-404-P01,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1094803,35,190984,33.10074963,87.0,6000481,SWC-08,HOT DCM,HOT DCM region >30% narB (HLII and LLI),23.75 N,-158.00 E,100,11/1/09
AG-894-I07,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.33,1106415,54,123743,33.28253865,80.0,4103225,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-893-L04,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.22,1121638,33,204091,32.89037996,80.0,2957399,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-404-N21,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1094438,44,137825,33.05194081,81.0,6988280,SWC-08,HOT DCM,HOT DCM region >30% narB (HLII and LLI),23.75 N,-158.00 E,100,11/1/09
AG-337-G06,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1270863,20,250344,33.46316637,96.0,13395643,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-901-G03,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.21,1192378,29,235169,32.89787299,86.0,2088524,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-914-D08,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.26,1011185,28,250048,32.73584952,80.0,3305930,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-911-I16,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.22,1066821,37,249086,33.05427996,88.0,3903503,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-422-B15,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1093635,36,180708,33.34375729,83.0,12102493,SWC-14,GEOTRACES,Coastal North Africa,24.00 N,-22.00 E,60,10/1/10
AG-909-G09,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.28,1260503,23,171580,33.07497086,87.0,4571362,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-894-A11,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.29,1283612,30,202774,33.38547785,90.0,4177143,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-457-M14,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1134891,34,172800,32.31878656,88.0,2988313,SWC-21,GEOTRACES,North of New Zealand,-30.00 N,174.00 E,50,5/1/11
AG-917-N15,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.22,1209953,25,191163,33.2888137,91.0,3276248,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-892-M06,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.31,1239125,10,467395,32.79903157,94.0,3566250,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-891-J04,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.22,1348324,9,660135,32.96789199,98.0,3133230,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-439-D15,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1151845,38,155107,33.39720188,93.0,3186488,SWC-18,GEOTRACES,TENATSO time-series station,17.40 N,-24.50 E,72,12/1/11
AG-895-F07,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.8,1269476,15,414396,33.01480296,90.0,3533428,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AH-287-F15,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.19,1323050,15,410338,32.92762934,98.0,4210302,117 Fiji-Hawaii 2007,3 c.1,equatorial,-3 N,-166 E,15,4/23/07
AG-422-N09,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1223742,27,134335,32.9761502,82.0,10449824,SWC-14,GEOTRACES,Coastal North Africa,24.00 N,-22.00 E,60,10/1/10
AG-919-N17,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.27,1099060,36,133513,32.79338708,83.0,3304534,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-900-M14,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.28,1256969,23,299664,32.09570005,92.0,2781014,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-333-C14,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1189654,42,207104,33.37718362,82.0,9668260,SWC-04,BiG-RAPA,"DCM, <1% PAR",-23.46 N,-88.77 E,112,12/1/10
AG-337-E07,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1110254,35,147814,33.45946063,82.0,3774326,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-426-I21,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1272694,19,336904,33.22102564,93.0,3118032,SWC-15,GEOTRACES,"Off the North American Shelf, SE of WHOI",38.32 N,-68.87 E,90,11/1/11
AG-916-I16,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.35,1205333,25,345283,33.00067284,93.0,4055886,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-893-M03,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.22,1302271,17,321709,33.27978585,88.0,3196626,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-453-G19,8,15,SAR11_Surface4_Alphaproteobacteria,no SSU regions found,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1045209,38,89272,33.54410458,85.0,3199376,SWC-20,GEOTRACES,Austrialia coast,-30.00 N,156.00 E,50,5/1/11
AG-911-E02,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.28,1240899,34,362254,33.07996864,83.0,2884245,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-893-B07,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.27,1104034,41,108450,33.41853602,80.0,3018174,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-896-A02,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.31,1230581,23,376060,33.04032811,96.0,2696911,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-895-F20,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.25,1169627,25,223649,33.47537292,81.0,4409595,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-914-B16,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.2,1116728,32,299592,33.26656088,85.0,3099412,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-461-P14,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1178925,27,186302,32.44124944,80.0,3156123,SWC-22,GEOTRACES,32.5 S Line SW Pacific,-32.50 N,-170.00 E,75,5/1/11
AG-333-C10,8,15,SAR11_Surface4_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,929088,42,100813,33.18361662,82.0,3702523,SWC-04,BiG-RAPA,"DCM, <1% PAR",-23.46 N,-88.77 E,112,12/1/10
AG-892-O07,9,13,SAR116_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;unresolved,0.36,2156702,59,305430,30.61920469,91.0,3515166,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-892-O16,9,13,SAR116_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;unresolved,0.3,1983176,52,324447,30.6478598,84.0,3597253,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-390-L20,9,13,SAR116_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;unresolved,<0.5,2226049,33,322234,30.93678531,90.0,9474947,SWC-11,GEOTRACES,Northern edge of Sargasso Sea,36.20 N,-53.31 E,10,5/1/10
AG-894-A16,9,13,SAR116_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;unresolved,0.52,2040735,62,362168,30.843054100000003,85.0,3757596,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AH-287-L13,9,13,SAR116_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;unresolved,0.19,2008688,66,223711,30.90604414,86.0,4003916,117 Fiji-Hawaii 2007,3 c.1,equatorial,-3 N,-166 E,15,4/23/07
AG-337-N21,9,13,SAR116_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;unresolved,<0.5,2044868,55,273483,31.058972999999998,80.0,10976539,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-893-P05,9,13,SAR116_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;unresolved,0.33,2083332,48,265499,30.69918765,88.0,2850562,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-899-D02,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.3,1232828,46,161787,29.77049515,84.0,2862564,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-337-B03,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1369242,38,175438,28.86545987,93.0,11581332,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-915-O07,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.32,1302158,36,180657,29.616068100000003,91.0,3870329,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-404-M02,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1274515,24,285710,29.67936823,86.0,5140022,SWC-08,HOT DCM,HOT DCM region >30% narB (HLII and LLI),23.75 N,-158.00 E,100,11/1/09
AG-896-A16,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.28,1330477,31,220085,29.34676811,84.0,2829091,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-901-J22,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.3,1406182,33,162406,29.8028278,89.0,2523633,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-907-I19,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.3,1343338,39,341072,29.64079033,85.0,4671513,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-892-F10,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.25,1427138,15,320234,30.22286562,89.0,3452616,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-891-J16,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.31,1363676,22,251517,30.151223600000005,93.0,3678529,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-349-G20,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1424478,32,200210,30.06848825,92.0,3018105,SWC-07,HOT ML,HOT Mixed Layer ~25% narB,23.75 N,-158.00 E,5,8/1/09
AG-892-K07,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,0.27,1241293,28,163546,29.47837457,84.0,3293586,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-337-K15,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1260842,38,158899,30.04817416,81.0,2895009,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-359-F09,11,21,S25-593_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__S25-593;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae,<0.5,1211133,39,167673,29.79969995,81.0,7984479,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
